f1,w,rf,wt,mass,m95,r95,compacity,Q
0.009,1.01103736,140,0.991862003115,0.504404541175,0.47918242485,68.96,0.0069487010564,0.252879206328732
0.01,1.01228208,140,0.990970784229,0.530211739606,0.50368717032,65.36,0.007706352055,0.265894472993606
0.02,1.02493404,105,0.982209201417,0.728887913632,0.692392385069,45.77,0.015127646604,0.366553482561695
0.024,1.0301,92,0.978779311466,0.789481290097,0.749994677189,41.63,0.0180157260915,0.397451907815858
0.028,1.03532615,65,0.975379727951,0.843638376163,0.801449065813,38.43,0.0208547766279,0.425165606787026
0.032,1.0406149,70,0.9720520524,0.891088544351,0.846476747733,35.77,0.0236644324219,0.449530156887343
0.036,1.0459644,75,0.968747076361,0.934684386437,0.887912014704,33.61,0.0264180902917,0.471992539500448
0.04,1.051375,55,0.965464015247,0.975003595493,0.926236430316,31.81,0.0291177752378,0.49283883151909
0.044,1.05685,55,0.962262354599,1.010626953711,0.959981251847,30.19,0.0317979878054921,0.511318061176961
0.052,1.067988,50,0.955960114938,1.074124165231,1.020338969937,27.57,0.0370090304656288,0.544418444999416
0.06,1.079381,50,0.94982200886,1.128311365565,1.071788416447,25.49,0.0420474074714468,0.572850531760538
0.07,1.093985,40,0.942374624625,1.185421269556,1.125957583531,23.4,0.04811784545007,0.60303218164055
0.08,1.109,40,0.935205112334,1.232484956919,1.170710444079,21.71,0.0539249398470519,0.628098334962656
0.09,1.124433,40,0.928340825266,1.270468440264,1.206917524086,20.28,0.0595126984263704,0.64847761372685
0.1,1.140284,40,0.921677277096,1.303052791992,1.237730697024,19.09,0.0648366001584303,0.666089885145539
0.11,1.1565625,40,0.915288008089,1.329515866558,1.262887718422,18.06,0.0699273376756396,0.680494722434236
0.12,1.1732725,40,0.909153148599,1.351051991424,1.283377772019,17.16,0.0747889144533363,0.692297782233727
0.13,1.19041838,40,0.903263448568,1.368476471921,1.300027092589,16.37,0.0794152164074503,0.70191076759821
0.14,1.2080046,40,0.897617874101,1.382277014595,1.31296346474,15.66,0.0838418559859922,0.709573355012304
0.15,1.22602,25,0.892033114517,1.395491887192,1.325523622118,15.06,0.0879577718724866,0.716974779900747
0.16,1.2445129,30,0.887029993342,1.400995592842,1.330674441604,14.46,0.092024511867512,0.720059957228514
0.17,1.263445,30,0.882119769982,1.405972790026,1.335635128612,13.94,0.0958131369162278,0.722872643955284
0.18,1.282831,30,0.877424019983,1.409077363933,1.338366766068,13.46,0.099432894953101,0.724636920199093
0.19,1.3026747,30,0.872952582516,1.410311259186,1.339732869393,13.03,0.102819099723179,0.725341833909185
0.2,1.322979,30,0.868706514306,1.409791162454,1.339293579137,12.63,0.106040663431317,0.725042970470545
0.21,1.343746,30,0.864677889535,1.407782780906,1.336957630372,12.25,0.109139398397763,0.723883883985164
0.22,1.364977,30,0.860850146574,1.404704313701,1.334439529036,11.92,0.111949624919161,0.72210001641264
0.23,1.386675,30,0.857242483353,1.400199985479,1.330144873645,11.6,0.114667661521152,0.71947805610298
0.24,1.4088405,30,0.853830601335,1.394838484947,1.324801072223,11.3,0.117239032940153,0.716344486043218
0.25,1.431475,30,0.850615928848,1.388601765072,1.319102897879,11.03,0.119592284485936,0.712685277323668
0.26,1.4545795,30,0.847595124087,1.381558494638,1.31227795853,10.77,0.121845678600757,0.708537628046717
0.27,1.47815451,30,0.844758339208,1.373926278348,1.304989772215,10.53,0.123930652632099,0.704027723614908
0.28,1.5022,25,0.842099655375,1.365735785625,1.297409863022,10.31,0.12583994791681,0.69917270521047
0.29,1.526717,23,0.839619946119,1.357022650914,1.289157312322,10.1,0.127639337853733,0.693992043647652
0.3,1.5517072,23,0.837326026802,1.347730792189,1.280318541259,9.9,0.129325105177734,0.688450234901935
0.32,1.603098,23,0.833207799281,1.328454247399,1.262000847078,9.54,0.132285204096297,0.676910343019855
0.34,1.656371,23,0.82972088455,1.308140473722,1.242666682247,9.22,0.134779466621202,0.664693706609454
0.36,1.71152,23,0.826821927,1.287199910708,1.222423154153,8.93,0.136889490946646,0.652051523113369
0.38,1.7685352,23,0.824458094968,1.266109451904,1.202316692681,8.68,0.138515748004817,0.639279468331088
0.4,1.827411,23,0.822624175427,1.244659965501,1.182177464569,8.46,0.139737288956158,0.62625583522655
0.42,1.8881331,23,0.821254402467,1.223475103675,1.161868705707,8.26,0.140662070908922,0.613368436468126
0.44,1.950692,23,0.820334109609,1.202404112149,1.142141606715,8.09,0.141179432226826,0.600532031138544
0.46,2.015074,23,0.819818088692,1.181754899368,1.122214816451,7.93,0.141515109262425,0.587941788427042
0.48,2.081267,23,0.819677632356,1.161586139804,1.103267015338,7.8,0.141444489145905,0.575639703615095
0.5,2.14926,23,0.819894030725,1.141790172,1.084426764592,7.68,0.141201401639603,0.563565155168789
0.52,2.219038,21,0.820417388821,1.1227331055,1.066330947782,7.58,0.140676906039875,0.551947409323473
0.54,2.290595,21,0.82125034564,1.104087078127,1.048540678365,7.49,0.139992079888637,0.540588655300506
0.56,2.363916,21,0.822339520135,1.08622664151,1.031644272349,7.42,0.13903561621964,0.529722047500737
0.58,2.438995,20,0.823673575391,1.069041533868,1.015200364836,7.36,0.137934832178837,0.519230045851194
0.6,2.51583,21,0.825261496338,1.05210243597,0.999219929101,7.31,0.136692192763568,0.509007510320232
0.62,2.594407,21,0.827031607953,1.036081712949,0.984241967007,7.28,0.1351980723911,0.499311469552779
0.64,2.67473,21,0.828996506651,1.020611693368,0.969354949221,7.25,0.133704130927051,0.489969150015397
0.66,2.756793,21,0.831118310118,1.005860131786,0.955477279165,7.24,0.131971999884748,0.48108355996639
0.68,2.840605,20,0.833404842292,0.991589627012,0.94172067879,7.23,0.130251822792608,0.472509542413249
0.7,2.926167,20,0.835824899569,0.977940795428,0.928942863979,7.24,0.128307025411496,0.464332331125687
0.72,3.013478,20,0.838330289315,0.965235970672,0.916773485743,7.26,0.126277339634066,0.456745322655851
0.74,3.10257,20,0.840991102661,0.952549195195,0.904690843884,7.28,0.124270720313813,0.449189391771815
0.76,3.19344,20,0.843720191682,0.940703163381,0.893566105951,7.32,0.122071872397739,0.442158164155527
0.78,3.28612,20,0.846563817032,0.929008416397,0.882542506296,7.36,0.119910666616311,0.435237717120117
0.8,3.380615,20,0.849447570717,0.918116929627,0.872085275135,7.41,0.117690320531156,0.428816215584234
0.84,3.57518,20,0.855389085596,0.897623210824,0.852646053975,7.54,0.113083031031184,0.41679431439422
0.88,3.77738,20,0.861468259135,0.878921201038,0.834787505862,7.7,0.108413961800336,0.405900311777725
0.92,3.98752,20,0.867619599458,0.861667653463,0.818419952605,7.89,0.103728764588801,0.395919944544545
0.96,4.20593,20,0.873690859973,0.84640690495,0.803947349761,8.12,0.0990082943055849,0.387156504883347
1,4.43303,20,0.879672742681,0.832317135616,0.79065517802,8.37,0.0944629842318864,0.379118531266326
1.04,4.66922,20,0.885390717615,0.820226670189,0.779124903319,8.65,0.0900722431582685,0.372268924174811
1.08,4.91495,20,0.890771786744,0.810040939504,0.769495551522,8.96,0.085881199946708,0.36653480004557
1.12,5.1707,20,0.895843062962,0.800733361084,0.760514866305,9.25,0.0822178233843691,0.36132039115621
1.16,5.4368,20,0.900245815216,0.795220038749,0.755370976211,9.61,0.0786025989814127,0.358255807749234
1.2,5.71377,20,0.90433991908,0.789385562669,0.749779623909,9.89,0.0758118932163096,0.355012262040246
1.24,6.00181,20,0.907692941971,0.787190295808,0.747611270642,10.2,0.0732952226119567,0.353801049372483
1.28,6.30122,20,0.910402544992,0.787451611967,0.748076822635,10.51,0.0711776234666758,0.353945714925191
1.32,6.61221,20,0.912527889207,0.789508818924,0.750031351759,10.77,0.069640794035226,0.355072762479801
1.36,6.93489,20,0.91404469752,0.793671985494,0.75382851042,10.99,0.0685922211483507,0.357351044707414
1.4,7.26933,20,0.915001052194,0.799629332164,0.759511098669,11.18,0.0679348031010054,0.360607318229079
1.44,7.61554,20,0.915410881069,0.807503775733,0.766955083472,11.34,0.0676327234102201,0.36491093210373
1.48,7.97354,20,0.915442245585,0.815871050927,0.775031815467,11.45,0.0676883681630362,0.369479307689821
1.55,8.62825,20,0.914602391068,0.832597137311,0.790936474767,11.56,0.0684201102739578,0.378618381157239
1.6,9.11778,20,0.913518869692,0.844848606083,0.802414308779,11.57,0.0693530085374681,0.385319305929244
1.65,9.62543,20,0.912145008042,0.856958055776,0.814097732705,11.56,0.0704236792997392,0.39195206904896
1.7,10.15112,20,0.910609714163,0.8682114589,0.824633476901,11.5,0.071707258860997,0.39812442934892
1.75,10.69476,20,0.908938683535,0.878918492658,0.834944729184,11.44,0.0729846791244374,0.404009266812593
1.8,11.2563,20,0.907240986751,0.888439149936,0.843860721177,11.35,0.0743489622182277,0.409250892719673
1.85,11.83569,20,0.905556738127,0.896789873834,0.851934269558,11.26,0.0756602370833149,0.413856446787805
1.9,12.43289,20,0.903899589177,0.904196690583,0.858883648037,11.16,0.0769609003617783,0.41794978636598
2,13.68065,20,0.900795096661,0.916000080109,0.870144141233,10.97,0.0793203410422443,0.424490841169976
2.1,14.99955,20,0.898142500373,0.923421540619,0.877122258176,10.77,0.0814412495985462,0.428613235615993
